,network_structure,loss,acc,f1
0,10,0.792523488486554,0.7118644114941527,0.709175623201651
1,25,0.7868401650655068,0.7175141209262913,0.7154512154512155
2,50,0.780238983658074,0.7401129990647741,0.7368605221681168
3,100,0.7973935432353262,0.7288135529237952,0.7252978169589421
4,500,0.8904018913958706,0.6892655387436603,0.6904848744404668
5,1000,0.7778498954692129,0.7401129990647741,0.7399463173818409
6,10 25,0.8014607971670937,0.7457627165788985,0.7445706276445844
7,10 50,0.8328253714378271,0.7288135529237952,0.7269749337144362
8,10 100,0.8125973744580974,0.7175141178955466,0.7178150787541694
9,10 500,0.834958895451605,0.745762711190908,0.7462670430453563
10,10 1000,0.8593042206629521,0.7005649764659041,0.6971373375482964
11,25 10,0.7671434818688085,0.7401129963707789,0.739197269860599
12,25 50,0.8049329290282254,0.7005649791598993,0.6992826043167697
13,25 100,0.8158212374832671,0.7231638465224013,0.7192949099032294
14,25 500,0.8467428337382732,0.7062146966740236,0.7056623593087847
15,25 1000,0.8987587394013916,0.7288135529237952,0.7268444403396069
16,50 10,0.8233080752151835,0.7005649764659041,0.7003475842891902
17,50 25,0.771523951810632,0.7175141290082769,0.719431739690481
18,50 100,0.8208774981525658,0.7288135586485351,0.7279847378422434
19,50 500,0.8697829795422527,0.7231638411344108,0.7227783631893221
20,50 1000,0.9169328542752454,0.7231638492163965,0.7237803990097568
21,100 10,0.7287888971425719,0.7457627165788985,0.7434053421108437
22,100 25,0.7508077951474378,0.7909604597226375,0.7893889722432208
23,100 50,0.829853808475753,0.7062146912860332,0.7006975867269984
24,100 500,0.993681054330815,0.6610169565610293,0.6596610373397757
25,100 1000,1.0399801320275344,0.6779660952966765,0.6666886253842775
26,500 10,0.7331857435447348,0.7627118664272761,0.7628383426616508
27,500 25,0.8207602244985979,0.7231638354096709,0.7177955890827178
28,500 50,0.951363480023745,0.7231638381036661,0.7161410018552875
29,500 100,0.9014658597903064,0.6949152589517799,0.6937455650326937
30,500 1000,1.0729214996941345,0.6836158266175265,0.6818939148816843
31,1000 10,0.9903422637847857,0.7683615896661403,0.765093415200638
32,1000 25,0.9750942443050233,0.7401129990647741,0.7395832798528216
33,1000 50,1.0504439254265048,0.6779661064094069,0.6655652652783212
34,1000 100,1.0879629419348333,0.6836158124740515,0.6742670443763102
35,1000 500,1.027518559310396,0.7457627192728937,0.7419157761465839
36,10 25 50,0.8722519366081152,0.6553672363529097,0.6515187140810106
37,10 25 100,0.8649426651539776,0.7175141263142818,0.7162786898635956
38,10 25 500,0.8717840997512731,0.7062146939800285,0.7050992838747477
39,10 25 1000,0.8233477786435919,0.751412436787018,0.7472412824525501
40,10 50 25,0.8228984525648214,0.7401129936767836,0.7374566004590615
41,10 50 100,0.8671359544419973,0.7062146966740236,0.6981421356421356
42,10 50 500,0.8708784256951284,0.7175141178955466,0.713047077533059
43,10 50 1000,0.9344290973102979,0.7344632707746689,0.7314366192870866
44,10 100 25,0.9094898357229718,0.7005649734351594,0.6965917680203395
45,10 100 50,0.8960603970592305,0.7062146966740236,0.7010782445634093
46,10 100 500,0.930663693759401,0.7062146912860332,0.7035541575510725
47,10 100 1000,0.9129197210241846,0.7231638357464203,0.7233571990853543
48,10 500 25,0.8584785828482633,0.723163843828406,0.7230822985539967
49,10 500 50,0.8757673431251009,0.7231638492163965,0.7215596470104099
50,10 500 100,0.839863194584173,0.7118644061061622,0.7111938694112206
51,10 500 1000,0.8605805312172842,0.745762711190908,0.7437678534016964
52,10 1000 25,0.9532494053328778,0.6892655441316508,0.688677722128734
53,10 1000 50,0.8866644047074399,0.6836158128108009,0.6749361632347085
54,10 1000 100,0.8645740814801663,0.745762711190908,0.7458338596269631
55,10 1000 500,0.8746641500521515,0.7175141178955466,0.7152730310625047
56,25 10 50,0.7887239456176758,0.751412436787018,0.747453459782227
57,25 10 100,0.837738879993137,0.7401129936767836,0.7389565021410863
58,25 10 500,0.8845648758828977,0.7288135586485351,0.7306834168152614
59,25 10 1000,0.9125098121368279,0.7062146912860332,0.705005526408712
60,25 50 10,0.8465658537412094,0.723163843828406,0.7156246146257246
61,25 50 100,0.8323055771784594,0.7175141290082769,0.7144049928490034
62,25 50 500,0.9527186626768381,0.7062146966740236,0.7063143358762226
63,25 50 1000,0.8647688782147769,0.7118644003814223,0.7098190388436537
64,25 100 10,0.8515514579869933,0.7457627138849032,0.7438042758431108
65,25 100 50,0.8984786716558165,0.7062146939800285,0.6945868945868946
66,25 100 500,0.9606260323928575,0.6779660952966765,0.6787580106953192
67,25 100 1000,0.9043371801995962,0.7231638465224013,0.7220240439664901
68,25 500 10,0.8498050853357477,0.7062146966740236,0.7051896542092622
69,25 500 50,0.789166875478238,0.7344632788566546,0.7331030206395607
70,25 500 100,0.9670088169938427,0.7005649791598993,0.6996993954977273
71,25 500 1000,0.9163609844143108,0.7175141232835371,0.7134887384967952
72,25 1000 10,0.873648727007505,0.7457627138849032,0.7445439449149177
73,25 1000 50,0.8462321899705014,0.7175141263142818,0.7195009040803434
74,25 1000 100,0.8912684536923123,0.7005649683839184,0.695936260292696
75,25 1000 500,0.9559733210983923,0.6892655387436603,0.6906836658580767
76,50 10 25,0.8548557007380124,0.7344632734686641,0.7346890427116857
77,50 10 100,0.8140036305465267,0.7062146858980427,0.7019890503761471
78,50 10 500,0.926556479796178,0.6836158185355408,0.6775638004027448
79,50 10 1000,0.9838841190445895,0.706214682867298,0.7067261436193476
80,50 25 10,0.7993914104450894,0.7344632815506499,0.7337600026460113
81,50 25 100,0.7849661909927756,0.7457627165788985,0.7441726359417938
82,50 25 500,0.9117419187631984,0.6497175161447902,0.6458884319308235
83,50 25 1000,0.8531491332134958,0.6949152589517799,0.6853225920429651
84,50 100 10,0.8777672675369823,0.7401129963707789,0.7369230769230769
85,50 100 25,0.859843948803379,0.7231638384404155,0.7238583662531882
86,50 100 500,0.8962688863614184,0.7118644141881479,0.7071895474527533
87,50 100 1000,0.9708162775147433,0.7005649707411642,0.6985353535353536
88,50 500 10,0.7407179990057218,0.7627118610392856,0.7613023821944008
89,50 500 25,0.9446685243461092,0.7288135640365255,0.7263268233476774
90,50 500 100,0.9929699719288928,0.7005649710779136,0.6998331664998331
91,50 500 1000,1.064106219905918,0.6610169511730388,0.6533776301218162
92,50 1000 10,0.9999490242219914,0.7457627138849032,0.7425907425907425
93,50 1000 25,0.8454420465534016,0.7118644003814223,0.7032261752145476
94,50 1000 100,0.9498026653871698,0.7231638492163965,0.7204804543278094
95,50 1000 500,0.9894929107299633,0.7118644114941527,0.7118844670864254
96,100 10 25,0.8782302834893351,0.7175141290082769,0.71828483155344
97,100 10 50,0.8561768400467048,0.7175141290082769,0.716952450066087
98,100 10 500,0.9028185410688152,0.740112990646039,0.7371024337043756
99,100 10 1000,0.9293125103422477,0.711864403412167,0.7072388703909237
100,100 25 10,0.799733865732527,0.7344632734686641,0.7320057566362985
101,100 25 50,0.8550210463798652,0.7344632788566546,0.7331030206395607
102,100 25 500,0.9704207363775221,0.7118644088001574,0.7126229290287575
103,100 25 1000,1.0769908468602067,0.7288135610057809,0.7180809669017217
104,100 50 10,0.8343553202973921,0.7514124233170417,0.7480478375069222
105,100 50 25,0.8956640271817223,0.6892655387436603,0.6845061995291939
106,100 50 500,1.0501421110778204,0.7005649653531737,0.7013572238449898
107,100 50 1000,1.0778658221670463,0.7401129909827884,0.7349628540104732
108,100 500 10,0.87355301642822,0.7570621435251613,0.7579096318463213
109,100 500 25,0.9578446964759612,0.7118644114941527,0.7090781146677192
110,100 500 50,0.8633545010776843,0.7344632704379195,0.7327805587643862
111,100 500 1000,1.2047526843130252,0.6723163831705428,0.6682166764720269
112,100 1000 10,0.8696617352760444,0.7118644061061622,0.7011460932727024
113,100 1000 25,0.988284839075164,0.7288135559545399,0.728443380434714
114,100 1000 50,0.8891169900274546,0.7344632707746689,0.7369835531838477
115,100 1000 500,1.197103546837629,0.6949152589517799,0.6959992574027662
116,500 10 25,0.9764750710988449,0.7062146882552885,0.7043353222598506
117,500 10 50,0.8472317174329596,0.7344632815506499,0.7343650690000435
118,500 10 100,0.9274279593074389,0.6892655414376555,0.6824198861934713
119,500 10 1000,0.979830222614741,0.6836158128108009,0.675708935259497
120,500 25 10,0.9404588957964364,0.6892655441316508,0.6844810378575411
121,500 25 50,0.9696575840987728,0.7288135667305208,0.7282991436398544
122,500 25 100,1.007126851270428,0.7288135613425303,0.7268726959354802
123,500 25 1000,1.2457348249726377,0.69491525322704,0.6918086542789172
124,500 50 10,0.8994372113276337,0.6892655303249251,0.6881479465659551
125,500 50 25,0.9058834657830707,0.6949152535637894,0.689727463312369
126,500 50 100,1.003896955716408,0.7118644003814223,0.7123534363689523
127,500 50 1000,1.004669495221585,0.785310733789778,0.7831463000868132
128,500 100 10,0.8941318022329255,0.706214682867298,0.7068325886200499
129,500 100 25,1.0672405082627205,0.6949152559210352,0.6925799346851979
130,500 100 50,1.1353587646268855,0.7005649791598993,0.6990201156867824
131,500 100 1000,1.2197860566909704,0.7344632731319147,0.7277574946570221
132,500 1000 10,1.29020595617887,0.6723163885585333,0.6597092887297075
133,500 1000 25,1.1025252247934287,0.7118644030754175,0.7083733381067843
134,500 1000 50,1.1269920970086997,0.6949152589517799,0.6900525869891064
135,500 1000 100,1.0581689264814733,0.7457627138849032,0.7440957223135443
136,1000 10 25,0.9676946758550439,0.6949152505330447,0.6949577165045643
137,1000 10 50,0.9281984177012902,0.7570621516071471,0.7505231263193046
138,1000 10 100,0.9572063516088798,0.7288135667305208,0.7271926537963492
139,1000 10 500,0.9884047151285377,0.7175141263142818,0.7114123068099438
140,1000 25 10,0.996921391810401,0.7344632815506499,0.7361675533390238
141,1000 25 50,1.1384396384664848,0.6836158266175265,0.6725912136456649
142,1000 25 100,1.1299582787152738,0.6384180834737875,0.6317340067340066
143,1000 25 500,1.1558210762207117,0.7062146882552885,0.7015199161425576
144,1000 50 10,0.925432655097401,0.7288135667305208,0.7230457428809478
145,1000 50 25,1.0190308525063898,0.7062146855612933,0.704448109210014
146,1000 50 100,1.0910483039705092,0.7062146882552885,0.6991999425967782
147,1000 50 500,1.2647482311658267,0.6723163831705428,0.6678819657804542
148,1000 100 10,0.8740091323852539,0.7570621489131518,0.7544444444444446
149,1000 100 25,1.1782478646369978,0.6666666656564184,0.6667767430596833
150,1000 100 50,1.071266303628178,0.7401130017587694,0.7396571328610163
151,1000 100 500,1.2901573403406952,0.6553672306281698,0.6265304243763233
152,1000 500 10,1.1897999849696617,0.7344632788566546,0.7331953106581796
153,1000 500 25,0.9837102573470208,0.7118644003814223,0.6982417171651824
154,1000 500 50,1.138863844386602,0.7175141290082769,0.7161103307719848
155,1000 500 100,1.14024887044551,0.7062146939800285,0.7056522914976388
156,10 25 50 100,0.8744590753889353,0.7231638465224013,0.7193277606808098
157,10 25 50 500,0.8476389875519748,0.7118644030754175,0.7120951528239492
158,10 25 50 1000,0.8426277098682641,0.7570621516071471,0.7537650798031253
159,10 25 100 50,0.8081530103575711,0.7344632815506499,0.7327044025157233
160,10 25 100 500,0.838393341686766,0.723163843828406,0.7215242598221323
161,10 25 100 1000,1.029012009922394,0.6779661091034022,0.679591528526578
162,10 25 500 50,0.885912879712164,0.7005649764659041,0.6983002897969333
163,10 25 500 100,0.8625359286022725,0.7005649791598993,0.6992177633687068
164,10 25 500 1000,1.0410012431063895,0.6779661064094069,0.6698423097922085
165,10 25 1000 50,0.7976423003579264,0.7457627081601633,0.7433155080213903
166,10 25 1000 100,0.8046489293965916,0.6949152616457751,0.685823754789272
167,10 25 1000 500,0.8827033803961372,0.7175141317022722,0.7156734006734006
168,10 50 25 100,0.9268513961700396,0.6666666659931678,0.6593700985005333
169,10 50 25 500,0.8796273001843253,0.7514124233170417,0.749882130185803
170,10 50 25 1000,0.8446078138836359,0.7401129909827884,0.7398416853179572
171,10 50 100 25,0.8470990388406872,0.706214682867298,0.7044913908760558
172,10 50 100 500,0.7960552758416214,0.706214688592038,0.6988935063201903
173,10 50 100 1000,0.7664437826070408,0.7401130017587694,0.7383210396909027
174,10 50 500 25,0.767552840844386,0.7344632815506499,0.7302922415071947
175,10 50 500 100,0.8921886783535198,0.6836158128108009,0.6699976725033122
176,10 50 500 1000,0.8426833647792622,0.7118644088001574,0.7095472461915415
177,10 50 1000 25,0.9229909942648505,0.6779661091034022,0.6768604918045762
178,10 50 1000 100,0.9204834827595512,0.7118644088001574,0.7135211439123103
179,10 50 1000 500,0.8379480370693961,0.7118644061061622,0.7121705483855015
180,10 100 25 50,0.7908536586384315,0.7514124313990275,0.7486661418700254
181,10 100 25 500,0.848811616331844,0.7627118691212713,0.7559927045336113
182,10 100 25 1000,0.7907134853513901,0.700564968047169,0.6982050077288173
183,10 100 50 25,0.8339112017114284,0.751412426011037,0.7492785292138043
184,10 100 50 500,0.8159598583555491,0.7683615839414004,0.7652952948411618
185,10 100 50 1000,0.860430874730234,0.7062146939800285,0.7053802653136726
186,10 100 500 25,0.7778756756567012,0.706214688592038,0.7006512566501559
187,10 100 500 50,0.9196254789492505,0.7062146912860332,0.6989891335685728
188,10 100 500 1000,0.7955255481482899,0.7344632815506499,0.7283814426671569
189,10 100 1000 25,0.819381145434191,0.7401129990647741,0.7364374666687113
190,10 100 1000 50,0.7989068290608078,0.7062146912860332,0.7040380821798116
191,10 100 1000 500,0.8347555691913023,0.7401129990647741,0.7328183798772034
192,10 500 25 50,0.7618495724295492,0.7570621462191566,0.7538579709022373
193,10 500 25 100,0.8316242627504855,0.7457627138849032,0.7423351443485672
194,10 500 25 1000,0.8225829934669753,0.7344632761626594,0.7343801598309226
195,10 500 50 25,0.8781244104864907,0.6553672252401794,0.6550755180892168
196,10 500 50 100,0.747513462257924,0.7683615758594147,0.7656369706729419
197,10 500 50 1000,0.7744146009622994,0.7175141236202865,0.7129086452394723
198,10 500 100 25,0.8028231879412118,0.7627118691212713,0.7610457516339869
199,10 500 100 50,0.7472535307798008,0.7344632761626594,0.7303914947479303
200,10 500 100 1000,0.8741838022813959,0.7288135670672702,0.7307528919678452
201,10 500 1000 25,0.8959611836126296,0.6779660952966765,0.6790053155831566
202,10 500 1000 50,0.9256974566454268,0.706214682867298,0.7056522914976388
203,10 500 1000 100,0.903410671120983,0.6949152481757989,0.6889711969603439
204,10 1000 25 50,0.8343592467954604,0.7288135556177905,0.7204218106995884
205,10 1000 25 100,0.8462507367807593,0.7457627084969127,0.7431894377688769
206,10 1000 25 500,0.861646465662509,0.7231638384404155,0.722502050096368
207,10 1000 50 25,0.8434409455390973,0.7401129909827884,0.7414088116188341
208,10 1000 50 100,0.7177837679615129,0.7231638411344108,0.7223475314090201
209,10 1000 50 500,0.8406147761533489,0.751412426011037,0.7519784166477549
210,10 1000 100 25,0.852072943065126,0.7231638411344108,0.7236727138948288
211,10 1000 100 50,0.8229814319960815,0.7231638357464203,0.7235506539137223
