,network_structure,loss,acc,f1
0,10,0.7310608036100528,0.7288135586485351,0.729271992429887
1,25,0.7814815731371864,0.7288135640365255,0.7278868931042842
2,50,0.7156657623705891,0.7740113041495199,0.7697831419490226
3,100,0.7227542221882922,0.7514124313990275,0.750719468771211
4,500,0.7879406106000566,0.7175141263142818,0.7162601449432753
5,1000,0.7618845088333733,0.7570621435251613,0.7554515460091192
6,10 25,0.7614886413859783,0.7118644114941527,0.7126668246071232
7,10 50,0.7129090950313934,0.7514124371237674,0.7517466110531804
8,10 100,0.7970469391952126,0.7288135586485351,0.7268406018188044
9,10 500,0.8060032526652018,0.7005649653531737,0.7005604457110071
10,10 1000,0.801779129747617,0.7288135613425303,0.7264188649080735
11,25 10,0.7058068887662079,0.751412436787018,0.7499126484975541
12,25 50,0.7994165804426548,0.723163843828406,0.7240794377485025
13,25 100,0.8250540592576151,0.7401129936767836,0.7402463134376394
14,25 500,0.7837093122261393,0.7401129990647741,0.7415305735694084
15,25 1000,0.8233627929525861,0.6666666629624232,0.6644850329781837
16,50 10,0.7673523867197629,0.7231638492163965,0.7219628607651577
17,50 25,0.7621857577798057,0.7118644030754175,0.7095875090504301
18,50 100,0.8457077202823876,0.7344632704379195,0.732924180111779
19,50 500,0.7518568456509692,0.7570621543011423,0.7544213298930281
20,50 1000,0.9017109130061952,0.7344632788566546,0.7339350662294728
21,100 10,0.799549247922197,0.7288135613425303,0.7301649982971558
22,100 25,0.8117283714019646,0.7514124313990275,0.7514728507636309
23,100 50,0.8199262881683091,0.7005649737719088,0.6960598436136595
24,100 500,0.9347470204035441,0.7570621543011423,0.7551386337794105
25,100 1000,0.9494730597835476,0.7344632788566546,0.7351951220030924
26,500 10,0.6978349857411142,0.7683615893293909,0.7655595571561958
27,500 25,0.8067079502983955,0.7344632815506499,0.7343640810621942
28,500 50,0.7697954831150292,0.7683615866353957,0.7670913701828367
29,500 100,0.9096080512650269,0.6836158155047961,0.6763649577353484
30,500 1000,1.0773169677809806,0.7175141178955466,0.7107579312544511
31,1000 10,0.7739274410878197,0.7627118610392856,0.760196919127628
32,1000 25,0.8863726827384388,0.7514124229802923,0.7477245851611674
33,1000 50,0.8925327756310587,0.7231638381036661,0.7221988795518207
34,1000 100,0.8939529643893915,0.7683615893293909,0.7647753004461922
35,1000 500,1.164041908447352,0.7062146855612933,0.7032083931914151
36,10 25 50,0.8509262588064549,0.7175141178955466,0.7154431652364602
37,10 25 100,0.7315946480648666,0.706214682867298,0.7002192134107027
38,10 25 500,0.9916317523536036,0.6553672387101556,0.6526119219617672
39,10 25 1000,0.7890816209679943,0.7231638407976614,0.71997647997648
40,10 50 25,0.807012716255619,0.7005649791598993,0.6983360171765969
41,10 50 100,0.773612454786139,0.7005649764659041,0.7006989776422988
42,10 50 500,0.7977118556108852,0.7457627138849032,0.7437449071763806
43,10 50 1000,0.8636169366243869,0.6949152616457751,0.691811909949165
44,10 100 25,0.8999668029742053,0.6779660979906718,0.6753114670734807
45,10 100 50,0.8149035566270688,0.745762711190908,0.7449339140428878
