,network_structure,loss,acc,f1
0,10,0.7725789422369272,0.7288135586485351,0.7296543155540802
1,25,0.7464045036984028,0.7231638465224013,0.7212000191963011
2,50,0.7218376674221061,0.7627118664272761,0.7591269841269841
3,100,0.7663905098613373,0.7288135667305208,0.7277955689170642
4,500,0.7436652513547132,0.7062146966740236,0.6989050212534011
5,1000,0.8830936251387085,0.6836158155047961,0.6745721298697238
6,10 25,0.7891512368358461,0.7175141209262913,0.7159308916844785
7,10 50,0.8598832609289784,0.6553672333221651,0.6565084393993237
8,10 100,0.804455506936305,0.7344632815506499,0.734936206878653
9,10 500,0.8911258871272459,0.7005649791598993,0.6960182555114501
10,10 1000,0.7784391708966703,0.7118644114941527,0.713090647670087
11,25 10,0.7585754222789053,0.7457627138849032,0.7430230147211279
12,25 50,0.8682325196131474,0.6723163831705428,0.671007727431063
13,25 100,0.8572513067116172,0.677966100684667,0.6785032112076138
14,25 500,0.8298245853623428,0.7401129963707789,0.7347555726446431
15,25 1000,0.8630936600394168,0.6949152616457751,0.6834691252144083
16,50 10,0.8027961244017391,0.7062146855612933,0.7022418858126519
17,50 25,0.7637566247228849,0.7118644003814223,0.7106011572030989
18,50 100,0.7622980202658701,0.7231638465224013,0.7219194581967038
19,50 500,0.8713200065375721,0.6836158208927866,0.6828248714773538
20,50 1000,0.862109229389557,0.7344632815506499,0.7324237607815712
21,100 10,0.7583284361214288,0.7288135667305208,0.7266293682582067
22,100 25,0.7301257074215991,0.7175141263142818,0.713942571241933
23,100 50,0.8338007068229933,0.7118644088001574,0.7031513057544627
24,100 500,0.8046201750383539,0.7683615839414004,0.7664904018287477
25,100 1000,0.8945560344194962,0.7514124313990275,0.7503719883173074
26,500 10,0.7339068321184924,0.7288135667305208,0.7289870951262093
27,500 25,0.8409030258992297,0.7231638492163965,0.7210361072284498
28,500 50,0.8807734668591601,0.7401129990647741,0.7398748666915621
29,500 100,0.8147575740760329,0.7683615758594147,0.7675769003206767
30,500 1000,1.1616885466764202,0.7175141205895419,0.7080539286977713
31,1000 10,0.9129568318189201,0.700564968047169,0.6959689912375043
32,1000 25,0.9304808977633546,0.7175141232835371,0.7176872084852833
33,1000 50,0.8881093401693355,0.7627118610392856,0.7580598555211558
34,1000 100,0.9275871090969797,0.706214682867298,0.7067078390607803
35,1000 500,1.0924221903590832,0.6836158239235313,0.6778486746228682
36,10 25 50,0.8256476841403939,0.723163843828406,0.7216218825095386
37,10 25 100,0.7707112869300411,0.7231638354096709,0.7212751767373615
38,10 25 500,0.7910786048840668,0.7401129990647741,0.7370681605975724
39,10 25 1000,0.8704639942632557,0.6214689282374194,0.6131577471783657
40,10 50 25,0.82492595911026,0.7118644141881479,0.708979015661571
41,10 50 100,0.7609936729662836,0.7005649683839184,0.7010006901311249
42,10 50 500,0.8860871195793152,0.6723163831705428,0.662535714601633
43,10 50 1000,0.9177172854121796,0.6836158128108009,0.6769002011720459
44,10 100 25,0.8726963474925629,0.6949152505330447,0.6943163289075239
45,10 100 50,0.7519161886414566,0.7344632761626594,0.7348598339779069
46,10 100 500,0.8526706816786427,0.6440677929059261,0.6350178703352435
47,10 100 1000,0.8356933014541023,0.7231638465224013,0.7198845598845599
48,10 500 25,0.8621624246828974,0.6158192080292998,0.6090720079270812
49,10 500 50,0.8181095389323046,0.751412436787018,0.7495564892623716
50,10 500 100,0.9028545234162929,0.6553672360161603,0.6500751906438452
51,10 500 1000,0.8625844434156256,0.7118644030754175,0.7124271167267007
52,10 1000 25,0.9245653310738041,0.6949152589517799,0.6935050993022007
53,10 1000 50,0.7482118963521752,0.7344632815506499,0.7324159021406728
54,10 1000 100,0.8527120297911477,0.7062146882552885,0.7051578098942711
55,10 1000 500,0.9409712047900184,0.6610169565610293,0.6618357487922706
56,25 10 50,0.7798650759761616,0.7401129936767836,0.7404749567255298
57,25 10 100,0.7720342110105827,0.7175141290082769,0.7096950025585799
58,25 10 500,0.8550174014042999,0.6327683578776775,0.6315663315492702
59,25 10 1000,0.8646495695841514,0.7118644114941527,0.7108665269042627
60,25 50 10,0.810990498901087,0.7401129936767836,0.7362132333538106
61,25 50 100,0.7579487309617511,0.7231638465224013,0.7158523771998949
62,25 50 500,0.8290205473280222,0.706214682867298,0.7031562609476195
63,25 50 1000,0.8285339794589974,0.7288135529237952,0.728573293790685
64,25 100 10,0.8291798068978692,0.7344632815506499,0.7341798656915093
65,25 100 50,0.8902486458336566,0.706214688592038,0.7004785942844532
66,25 100 500,0.8820801508628716,0.7627118664272761,0.7587249199398732
67,25 100 1000,0.876065740140818,0.6666666602684279,0.668986618626504
68,25 500 10,0.9181887537746106,0.7401129990647741,0.7371024337043753
69,25 500 50,0.8839598914324227,0.7118644003814223,0.7071826551157233
70,25 500 100,0.8124842414748197,0.7288135529237952,0.7254644247636161
71,25 500 1000,0.8217121965467593,0.7288135640365255,0.7238120912999598
72,25 1000 10,0.816859726178444,0.7344632731319147,0.7321260995642517
73,25 1000 50,0.9565888522034984,0.6949152616457751,0.691031955249791
74,25 1000 100,0.9113059205523992,0.7288135529237952,0.7263026138196936
75,25 1000 500,1.1149687214759783,0.6892655357129156,0.6881905581862533
76,50 10 25,0.8466413674381493,0.7005649791598993,0.6996747149564051
77,50 10 100,0.7626962614598247,0.7344632734686641,0.7324822078828349
78,50 10 500,0.8918812870979309,0.7288135640365255,0.728654247198635
79,50 10 1000,0.8711757653177121,0.751412436787018,0.7502640670476611
80,50 25 10,0.7930823793519015,0.7062146966740236,0.7041795685360043
81,50 25 100,0.7804688437510345,0.7231638492163965,0.7155239333457155
82,50 25 500,0.807298691596015,0.7288135586485351,0.7307521982343871
83,50 25 1000,0.9299498823402965,0.7175141317022722,0.7141058396551498
84,50 100 10,0.7854362392829637,0.7570621462191566,0.7560360355819026
85,50 100 25,0.7375850630345318,0.7457627054661681,0.743067486320797
86,50 100 500,0.8881843218022147,0.7005649791598993,0.6994989810407363
87,50 100 1000,0.8870416559741996,0.6949152562577846,0.68573357276743
88,50 500 10,0.9742973019174264,0.7005649707411642,0.6980147568382863
89,50 500 25,0.8007601775692008,0.6892655414376555,0.6769366377631552
90,50 500 100,0.9104086544554112,0.6836158128108009,0.6791666666666667
91,50 500 1000,1.0686139535095731,0.7514124313990275,0.7472227652872815
92,50 1000 10,0.9208510265511981,0.6949152478390495,0.691667915968687
93,50 1000 25,0.8562086719577595,0.7175141236202865,0.7182099471618022
94,50 1000 100,0.9712914356404105,0.7005649707411642,0.6965221878224974
95,50 1000 500,1.098792122582258,0.6892655411009061,0.6866587446874565
96,100 10 25,0.838159035828154,0.7175141178955466,0.7151929287778346
97,100 10 50,0.8718482114500918,0.7401129963707789,0.7372325026046709
98,100 10 500,0.919937859147282,0.7118644003814223,0.7124893522258294
99,100 10 1000,0.8945015567844197,0.7288135640365255,0.72807491005306
100,100 25 10,0.8431570092163517,0.7457627165788985,0.7450483770872119
101,100 25 50,0.7698759096490462,0.7401129963707789,0.7360203340595497
102,100 25 500,0.8332066047663069,0.7175141290082769,0.7108533536441053
103,100 25 1000,0.7946644974293682,0.7570621408311661,0.7550503281859458
104,100 50 10,0.9307200235162078,0.700564968047169,0.6970408143921443
105,100 50 25,0.8326014707990959,0.7401129990647741,0.7401190299721764
106,100 50 500,0.794022517015705,0.7401129963707789,0.7392881517881517
107,100 50 1000,0.9719512018106752,0.6779660979906718,0.6706113108859103
108,100 500 10,0.9672067091289887,0.6723163888952827,0.669228597099217
109,100 500 25,0.8657922677401095,0.7288135640365255,0.7256751820651554
110,100 500 50,0.8843595523618709,0.7175141317022722,0.7104377104377103
111,100 500 1000,0.9925265494039504,0.7288135556177905,0.724777244018016
112,100 1000 10,0.9737016144445387,0.7231638407976614,0.7192224761963998
113,100 1000 25,1.040332776678484,0.7118644030754175,0.7068257244617128
114,100 1000 50,0.951052139034379,0.7344632761626594,0.7325324180015255
115,100 1000 500,0.9578895413942929,0.7005649764659041,0.7017985403956565
116,500 10 25,0.8781837349557607,0.7118644141881479,0.7119883853828809
117,500 10 50,0.9307467237030719,0.7457627054661681,0.7393111710092842
118,500 10 100,1.0408547537474981,0.6892655303249251,0.6880210349598888
119,500 10 1000,1.200975504298668,0.6949152478390495,0.6958648089082872
120,500 25 10,0.8666136439910717,0.7457627192728937,0.7439254022483058
121,500 25 50,1.0492824720124068,0.7062146855612933,0.7038758385642486
122,500 25 100,1.0561478023475173,0.7062146966740236,0.7035767621045625
123,500 25 1000,1.0740337385296148,0.7344632704379195,0.7351979008382176
124,500 50 10,0.9646596033020881,0.6949152586150305,0.6927485313601217
125,500 50 25,0.9641670520696263,0.7344632788566546,0.732224202812438
126,500 50 100,0.9905427142051654,0.7514124340930227,0.7513636671531408
127,500 50 1000,1.1113899737428137,0.69491525322704,0.6940488399122398
128,500 100 10,1.029137768987882,0.7175141205895419,0.715419335536256
129,500 100 25,1.0186381636366333,0.6892655441316508,0.6803751803751804
130,500 100 50,1.0019497979158736,0.723163843828406,0.7166105499438832
