,network_structure,loss,acc,f1
0,10,0.7151936168051035,0.7118644141881479,0.71101538258401
1,25,0.7939350180706736,0.7118644030754175,0.7116359893828461
2,50,0.7461129746868111,0.7457627192728937,0.7434308016872402
3,100,0.7357663081190681,0.7796610135816585,0.7795198992285303
4,500,0.8037632427646615,0.7683615893293909,0.7655298457411134
5,1000,0.9625615359699659,0.7062146855612933,0.6982165743456066
6,10 25,0.7837575647117054,0.73446327582591,0.7331318745626553
7,10 50,0.7374209189145579,0.7570621462191566,0.7565973044828765
8,10 100,0.7892317889773913,0.7344632788566546,0.732115403813517
9,10 500,0.6847803107762741,0.7627118691212713,0.7610461344615094
10,10 1000,0.8673804257549135,0.6779660952966765,0.6723420094320436
11,25 10,0.7857921483826502,0.6836158128108009,0.6801275165936819
12,25 50,0.8557632440901072,0.7401129879520438,0.7385211806595455
13,25 100,0.8103189933097968,0.7005649734351594,0.7000517965689754
14,25 500,0.738302385402938,0.7796610162756538,0.7798766179164663
15,25 1000,0.8256596286418074,0.7118644057694128,0.7118562778940137
16,50 10,0.7748173485367985,0.7231638492163965,0.7155528408238497
17,50 25,0.7868508575326305,0.7118644030754175,0.7074230387288977
18,50 100,0.8326375124144689,0.7796610162756538,0.7796692414339473
19,50 500,0.8949391417584177,0.7570621543011423,0.7535436585796299
20,50 1000,0.8506342112007788,0.7062146912860332,0.7019035661419769
21,100 10,0.8344475576433085,0.7683615866353957,0.7629801328697458
22,100 25,0.8170232038713444,0.7401129879520438,0.7375463698993111
23,100 50,0.8072840433336247,0.7457627081601633,0.7428060373044193
24,100 500,0.9173831340283324,0.7062146882552885,0.6991860412155866
25,100 1000,0.893754404143425,0.7570621543011423,0.7513287203235167
26,500 10,0.874198328303752,0.7627118580085409,0.7598421380599598
27,500 25,0.9293900748430672,0.7288135556177905,0.7258489658489657
28,500 50,0.9860105460646462,0.7627118691212713,0.7601356049416124
29,500 100,0.9559326973338585,0.740112990646039,0.7379864986882763
30,500 1000,1.2655152621242287,0.7457627192728937,0.7408225979300154
31,1000 10,1.0828094051382635,0.706214682867298,0.6987476016047446
32,1000 25,0.9155283331197533,0.7457627108541586,0.7440957223135442
33,1000 50,1.0853368932917966,0.7231638434916566,0.7181934285382562
34,1000 100,1.1514620888704634,0.7457627108541586,0.7428817707661247
35,1000 500,1.3536770209080755,0.7175141259775324,0.7069638247972433
36,10 25 50,0.7853084644355343,0.7457627081601633,0.7425742072481617
37,10 25 100,0.8301559188271647,0.6949152478390495,0.6961267349756559
38,10 25 500,0.8134937764561109,0.7514124340930227,0.750789708733634
39,10 25 1000,0.8181275910576858,0.7401129879520438,0.7406962785114045
40,10 50 25,0.7603444194389601,0.7175141317022722,0.7168265387689848
41,10 50 100,0.7711208378527797,0.7175141205895419,0.7172513287397081
42,10 50 500,0.8369592640359523,0.7344632815506499,0.7338922281978277
43,10 50 1000,0.8450578377071747,0.7401130017587694,0.7394102176710873
44,10 100 25,0.7032601803036059,0.7288135556177905,0.725671750181554
45,10 100 50,0.7256283221271752,0.7627118583452903,0.7620154240454474
46,10 100 500,0.7843748890073959,0.7288135640365255,0.7287847164872345
47,10 100 1000,0.7343974369393904,0.7401129963707789,0.7408111271775804
48,10 500 25,0.8402743861500153,0.6949152478390495,0.6910478107286618
49,10 500 50,0.7315286040979591,0.7514124287050322,0.7468675003157762
50,10 500 100,0.8445960158682139,0.683615821229536,0.6792129315189542
51,10 500 1000,0.7932625295078687,0.7514124340930227,0.7512077294685992
52,10 1000 25,0.8007379527819358,0.7288135529237952,0.7272985171516636
53,10 1000 50,0.7896946688829842,0.7175141317022722,0.7173855922197055
54,10 1000 100,0.7199261090849752,0.7514124229802923,0.7476475476293807
55,10 1000 500,0.8845404979199339,0.7175141290082769,0.7159475078166734
56,25 10 50,0.8385845527137067,0.751412436787018,0.7492812851898055
57,25 10 100,0.8300179680861995,0.7344632815506499,0.731347289318304
58,25 10 500,0.7531430997417472,0.7457627192728937,0.7456816369917619
59,25 10 1000,0.8240505712853987,0.7457627165788985,0.745658125341181
60,25 50 10,0.7893229925026328,0.7005649764659041,0.698339140141393
61,25 50 100,0.8598723647284643,0.7062146855612933,0.7025192613427907
62,25 50 500,0.7745474267140621,0.7514124340930227,0.7489442260084461
63,25 50 1000,0.9129960092447572,0.7005649734351594,0.701135867190913
64,25 100 10,0.810605331666052,0.7627118664272761,0.762343189375834
65,25 100 50,0.8349992979717793,0.6779660952966765,0.6742371088165481
66,25 100 500,0.7944250009154196,0.7570621516071471,0.7550550550550551
67,25 100 1000,0.8604394635238216,0.7401129879520438,0.737796469939327
68,25 500 10,0.8141976466960152,0.7401130017587694,0.7359816428781946
69,25 500 50,0.8042106160336295,0.7231638381036661,0.720492735063701
70,25 500 100,0.7990883198161584,0.7683615839414004,0.7639094551919964
71,25 500 1000,0.8471205537602052,0.6892655414376555,0.6861608710923779
72,25 1000 10,0.7434331586131941,0.7175141205895419,0.7148155702872684
73,25 1000 50,0.7436123264711455,0.7909604539978976,0.7872649572649574
74,25 1000 100,0.8428101381339596,0.7570621489131518,0.7559038662486938
75,25 1000 500,0.8016009219622208,0.7401129990647741,0.7413248754489631
76,50 10 25,0.7876578252867791,0.7740112930367895,0.7738557206183105
