,network_structure,loss,acc,f1
0,10,0.7723180227360483,0.7005649791598993,0.6971206261452411
1,25,0.7616212667718445,0.6949152559210352,0.6922913535063069
2,50,0.749641854210762,0.7288135556177905,0.7255428010144991
3,100,0.7548370068356142,0.73446327582591,0.7320285359302199
4,500,0.8668574061097398,0.7062146909492838,0.7022827504734375
5,1000,0.8655474381258259,0.7231638407976614,0.7185586108691746
6,10 25,0.7964580422740871,0.7344632731319147,0.726297617026094
7,10 50,0.8442151795672832,0.6949152586150305,0.6933271690553244
8,10 100,0.7499994588437053,0.7627118718152666,0.7615042573907435
9,10 500,0.782835531369441,0.7118644030754175,0.7037503242936873
10,10 1000,0.9006236374041455,0.6892655330189204,0.6885056191906648
11,25 10,0.7836150530367921,0.7740112987615294,0.7718125892883174
12,25 50,0.8368517133475697,0.7288135583117857,0.7241975308641976
13,25 100,0.7831166167717195,0.7231638381036661,0.7215608465608465
14,25 500,0.8629608949025472,0.7175141259775324,0.7139077853363567
15,25 1000,0.876457341646744,0.6723163831705428,0.6711728023029614
16,50 10,0.7479232350985209,0.7457627165788985,0.7377794363846517
17,50 25,0.7800372562839486,0.7288135586485351,0.7266751028155647
18,50 100,0.8296868565392359,0.7231638354096709,0.7221015501717257
19,50 500,0.8419624654586706,0.7457627081601633,0.7393845202318556
20,50 1000,0.8701394089197708,0.7514124340930227,0.748347379532779
21,100 10,0.79457561444428,0.7175141317022722,0.7146584140294833
22,100 25,0.8282454498743607,0.7457627054661681,0.740736007298108
23,100 50,0.9030122527968412,0.6610169454482989,0.6548728451954259
24,100 500,0.8818527079571439,0.7062146909492838,0.7022796030446093
25,100 1000,0.8855447715285134,0.6949152586150305,0.6895052947684527
26,500 10,0.8496402091225662,0.7175141232835371,0.7124549084471329
27,500 25,0.8299763424921844,0.7457627081601633,0.744947277571391
28,500 50,0.9294302456796506,0.7175141178955466,0.7119408584353967
29,500 100,0.9721929744138555,0.7344632731319147,0.7289364160331903
30,500 1000,1.2295192574377114,0.7118644030754175,0.7082362082362081
31,1000 10,0.8656981018303478,0.7344632704379195,0.7288063519947577
32,1000 25,0.9879214514446797,0.7288135610057809,0.7165797612657516
33,1000 50,0.9621934944626975,0.7457627054661681,0.7405261703649572
34,1000 100,1.021407590747553,0.7401130017587694,0.735359407014795
35,1000 500,1.0985421595600364,0.6892655330189204,0.6673210010546331
36,10 25 50,0.8212099715141253,0.7570621543011423,0.7530597008879901
37,10 25 100,0.8089697825706611,0.7344632842446451,0.7317559690932608
38,10 25 500,0.8057782192014705,0.6949152505330447,0.6931596873361011
39,10 25 1000,0.8343523909143136,0.7118644030754175,0.7106221545896023
40,10 50 25,0.8132732278209621,0.7457627108541586,0.7401785093897454
41,10 50 100,0.7097400005927867,0.7231638407976614,0.7180246913580247
42,10 50 500,0.8452025065987797,0.6892655303249251,0.6868490233270107
43,10 50 1000,0.8138226476092797,0.6779661064094069,0.6692230896515855
44,10 100 25,0.8236331222421032,0.7457627081601633,0.7428109273903667
45,10 100 50,0.8326736493299236,0.7062146855612933,0.7026702670267028
46,10 100 500,0.8672736108639819,0.6892655384069108,0.6756917401106785
47,10 100 1000,0.7521618267910629,0.7344632704379195,0.7325432066518655
48,10 500 25,0.8488448410384399,0.7118644003814223,0.708541772692716
49,10 500 50,0.8863114105106074,0.7062146909492838,0.7066620079198697
50,10 500 100,0.9497110931213293,0.7118644030754175,0.7102459152773618
51,10 500 1000,0.9384046462969592,0.6892655384069108,0.6897836586562865
52,10 1000 25,0.85970449919081,0.6949152478390495,0.6874462350174916
53,10 1000 50,0.8803564303338864,0.7062146882552885,0.7029446608885861
54,10 1000 100,0.8842970705301748,0.6892655384069108,0.6877387866083171
55,10 1000 500,0.8197510084189937,0.717514118232296,0.7167217008457883
56,25 10 50,0.7979242518796759,0.7853107364837733,0.7836274009858916
57,25 10 100,0.8409200280399646,0.7175141205895419,0.7140215191221904
58,25 10 500,0.7986156812495431,0.6949152478390495,0.68335343495551
59,25 10 1000,0.8245060134068721,0.7288135529237952,0.7247971707925941
60,25 50 10,0.7433526886385039,0.7514124313990275,0.7445106589085316
61,25 50 100,0.8309086332213407,0.7231638381036661,0.7195600669941863
62,25 50 500,0.8549801932889863,0.7175141259775324,0.7134558864662269
63,25 50 1000,0.9007863924328217,0.7062146909492838,0.6989240228370663
64,25 100 10,0.8394838275208985,0.73446327582591,0.7310447239692524
65,25 100 50,0.8518333293623843,0.6949152559210352,0.6917406026316918
66,25 100 500,0.9064831302664375,0.7062146939800285,0.7055112078696985
67,25 100 1000,0.8747423833372903,0.7401129963707789,0.7376063575277206
68,25 500 10,0.8418449281299182,0.6723163831705428,0.6522633744855968
69,25 500 50,0.8072890965952038,0.7457627165788985,0.7419034872232192
70,25 500 100,1.0460603506551625,0.672316385864538,0.6668045486815714
71,25 500 1000,0.9687472770443071,0.7231638381036661,0.7253098650463422
72,25 1000 10,0.835905763389027,0.7683615782166605,0.7607786762503744
73,25 1000 50,0.8954604375833846,0.7231638354096709,0.7206369922237733
74,25 1000 100,0.8501676159389948,0.7118644057694128,0.7101827173180052
75,25 1000 500,0.9471578800072105,0.7062146882552885,0.7008725852759742
76,50 10 25,0.8137032487298136,0.7288135556177905,0.7231171788479247
77,50 10 100,0.7682955389642446,0.7288135610057809,0.725227979308241
78,50 10 500,0.784960984510217,0.7401130017587694,0.737130804987864
79,50 10 1000,0.9217640828278105,0.6949152586150305,0.6937811598005773
80,50 25 10,0.805258967445395,0.7175141317022722,0.7134558864662269
81,50 25 100,0.9302360492911043,0.7570621543011423,0.7513845999347243
82,50 25 500,0.8246734519462801,0.7457627054661681,0.7424669157674674
83,50 25 1000,0.9348134395092894,0.706214693643279,0.705596826283772
84,50 100 10,0.9360499153029447,0.7401130017587694,0.7390621019203257
85,50 100 25,0.9523917093115338,0.7175141178955466,0.7118073499856447
86,50 100 500,0.8510084522646025,0.7231638434916566,0.7141346887903194
87,50 100 1000,0.9875168419827176,0.7005649653531737,0.6956804077843186
88,50 500 10,0.8905508780883531,0.7231638381036661,0.7146903820816863
89,50 500 25,1.007393152026807,0.7005649653531737,0.7010389271258837
90,50 500 100,1.0554387919646873,0.677966100684667,0.6643259584677411
91,50 500 1000,0.9450808298789849,0.7175141205895419,0.7072829131652661
92,50 1000 10,0.7879365022573094,0.7288135529237952,0.7245564892623716
93,50 1000 25,0.9329528633484059,0.706214693643279,0.6962326982078967
94,50 1000 100,0.9620733665207685,0.7231638381036661,0.7227201691487406
95,50 1000 500,0.9988975464287451,0.7344632731319147,0.7319727891156463
96,100 10 25,0.9353742141508113,0.7288135636997761,0.7226643203623775
97,100 10 50,0.8645937254199874,0.7288135556177905,0.721728537129381
98,100 10 500,0.9915815962236479,0.6949152505330447,0.6877552946430826
99,100 10 1000,0.9752045634102686,0.7231638434916566,0.7147629339374806
100,100 25 10,0.8401436623880418,0.7175141286715275,0.7099341178024438
101,100 25 50,0.8697654049275285,0.7231638434916566,0.7180642180642182
102,100 25 500,0.9864018037494293,0.73446327582591,0.7316697693951874
103,100 25 1000,1.0726522469924669,0.6836158124740515,0.6772140389161666
104,100 50 10,0.9449372998738693,0.7627118718152666,0.759877613462519
105,100 50 25,0.838506200892777,0.7231638381036661,0.7201232521956831
106,100 50 500,1.1054218859322327,0.711864408463408,0.7045290830237066
107,100 50 1000,1.018544291372353,0.7005649707411642,0.6936778760087031
108,100 500 10,0.8797866705447267,0.7288135667305208,0.7249141964008521
109,100 500 25,1.0234899520874023,0.7344632815506499,0.725829517860328
110,100 500 50,0.9743235683710562,0.7288135529237952,0.7263898976770263
111,100 500 1000,1.047063739959803,0.7457627108541586,0.7417849258908862
112,100 1000 10,1.0426033196476219,0.7231638492163965,0.7180965546622152
113,100 1000 25,0.8940205075646525,0.7005649677104195,0.6912391040494317
114,100 1000 50,1.0776861872376695,0.7118644057694128,0.7083374187011798
115,100 1000 500,1.3658710044656097,0.6836158155047961,0.6837712647392714
116,500 10 25,0.8019847485978725,0.751412436787018,0.7445826541394825
117,500 10 50,1.0253619420326363,0.7570621404944167,0.7540805398038023
118,500 10 100,0.9941561262486345,0.7231638434916566,0.7175091278466805
119,500 10 1000,1.1287302607196872,0.7175141259775324,0.7066076299054149
120,500 25 10,0.8397525266065435,0.7627118607025362,0.7618619698058949
121,500 25 50,0.9884404220150016,0.6836158266175265,0.6774899989236701
122,500 25 100,1.1040032280366974,0.7175141205895419,0.7110462097611631
123,500 25 1000,1.1593781689466056,0.7118644057694128,0.7018586204214947
124,500 50 10,0.8639317205396749,0.7457627054661681,0.7391292482352085
125,500 50 25,0.871006905022314,0.7740113068435152,0.7697530864197532
