,network_structure,loss,acc,f1
0,10,0.8075493769457112,0.6666666602684279,0.6615307269178446
1,25,0.7576781811013733,0.7570621462191566,0.7556016310733291
2,50,0.831874301541323,0.7175141290082769,0.7187060741017576
3,100,0.8046474729554128,0.7288135529237952,0.7293181732898044
4,500,0.9217075601135943,0.6949152589517799,0.691667915968687
5,1000,0.9273012991005418,0.6949152616457751,0.6919422804807885
6,10 25,0.8240767646644075,0.6836158181987914,0.6854886659234486
7,10 50,0.9180642164359658,0.6892655441316508,0.6916228163886585
8,10 100,0.7613991559562037,0.7344632842446451,0.7350689808633734
9,10 500,0.9868357275838906,0.7288135529237952,0.7282300934474847
10,10 1000,0.8602765178949819,0.7231638465224013,0.7193133910115042
11,25 10,0.8436438458114021,0.7457627054661681,0.7456665224994831
12,25 50,0.89724473427918,0.7062146882552885,0.7066037361844013
13,25 100,0.8803661159202878,0.7344632731319147,0.731130255882731
14,25 500,0.9328990932238304,0.7118644030754175,0.7131278378803132
15,25 1000,1.0216803550720215,0.7062146882552885,0.7030798703212496
16,50 10,0.8125020767335838,0.7457627192728937,0.7446940201657183
17,50 25,0.8380486614960062,0.7344632842446451,0.7318080943200242
18,50 100,0.9047838826637483,0.7344632815506499,0.7348721961398018
19,50 500,0.9333880398906557,0.7175141205895419,0.7169000286198622
20,50 1000,0.912364722308466,0.6892655303249251,0.6880839753119791
21,100 10,0.8367566617868715,0.677966100684667,0.672015635183605
22,100 25,0.8753101980618838,0.7062146966740236,0.7066370481977802
23,100 50,0.8754400344891736,0.7288135529237952,0.729972087498599
24,100 500,0.9858266916652184,0.6892655441316508,0.6845576150949677
25,100 1000,0.9477333019008745,0.7740112987615294,0.7742600311565827
26,500 10,0.9408742404926969,0.6949152478390495,0.6862129182789154
27,500 25,0.992355330515716,0.7570621516071471,0.7556612804137556
28,500 50,0.957612406062541,0.7740113068435152,0.7720147142048671
29,500 100,0.929251173121781,0.7231638354096709,0.7236940836940837
30,500 1000,1.2125741674401667,0.7514124229802923,0.75
31,1000 10,0.9127711380942393,0.7344632731319147,0.7305671937649233
